Word,Frequency
"would,2
rashness,1
original,4
intentions,6
atoned,1
obstinacy,2
adhering,1
explain,6
allowing,8
according,8
representation,4
delay,6
offering,3
yield,4
_persuasion_,1
merit,7
conviction,16
requester,1
waiting,10
arguments,5
occurs,1
discuss,2
thereupon,2
ordinary,3
change,24
complying,3
argued,1
proceed,5
arrange,1
precision,1
appertain,1
intimacy,10
subsisting,2
particulars,20
forgetting,2
comparative,3
size,4
weight,6
comparison,13
deference,6
awful,2
occasions,8
especially,22
sunday,9
checked,5
warmly,8
resented,3
indignity,2
expostulation,1
disputes,1
thankful,8
sacrifice,8
side,54
finish,4
indulgence,6
alacrity,5
polite,5
lead,6
earnestly,11
negatived,1
sang,1
lay,6
frequently,23
reprehensible,3
supposition,4
pain,28
approbation,7
italian,1
songs,1
varied,3
charm,6
seize,1
reel,2
'yes,1
despising,2
overthrowing,1
schemes,7
cheating,1
premeditated,1
despise,3
affront,4
amazed,5
archness,1
bewitched,1
inferiority,3
jealous,3
recovery,3
rid,5
tried,16
provoke,5
disliking,1
guest,5
planning,2
alliance,3
shrubbery,4
hints,4
takes,6
holding,2
tongue,3
compass,1
cure,1
running,9
check,4
bordering,3
conceit,5
possesses,1
propose,3
domestic,7
portraits,2
placed,9
gallery,5
profession,7
painter,1
catch,4
colour,12
shape,2
eyelashes,1
copied,1
confusion,11
abominably,4
"running,1
telling,7
disengaged,2
arm,4
path,4
wide,3
avenue,1
laughingly,2
charmingly,2
grouped,1
uncommon,5
picturesque,1
spoilt,2
admitting,1
bye,5
ran,13
gaily,2
rejoicing,4
rambled,1
couple,8
11,1
welcomed,7
professions,6
powers,6
considerable,9
entertainment,6
accuracy,1
relate,11
anecdote,2
advanced,5
steps,5
congratulation,1
bow,11
diffuseness,1
salutation,4
full,19
piling,1
fire,6
fireplace,1
further,21
opposite,11
corner,1
tea,13
obtained,4
petition,1
rejected,4
justify,6
stretch,2
sofas,1
principally,5
bracelets,1
rings,1
perpetually,3
inquiry,10
page,2
win,1
exhausted,1
chosen,8
volume,2
yawn,2
tires,1
yawned,1
threw,9
cast,2
quest,7
consult,3
wishes,34
begins,4
nicholls,2
white,3
soup,2
balls,8
insufferably,1
tedious,1
usual,34
process,1
rational,10
"much,1
aimed,1
inflexibly,1
studious,1
desperation,1
effort,5
example,5
refreshing,2
attitude,1
awake,2
novelty,5
quarter,9
unconsciously,3
motives,7
choosing,1
joining,5
interfere,1
surest,1
disappointing,3
incapable,8
persevered,1
requiring,5
explanation,8
explaining,3
method,5
other's,1
confidence,11
affairs,7
conscious,3
figures,1
completely,7
punish,3
plague,3
tease,2
taught,8
calmness,4
presence,6
defy,4
laughter,2
expose,7
attempting,4
hug,1
loss,17
dearly,3
wisest,6
actions,6
ridicule,5
wise,5
whims,2
inconsistencies,2
_do_,6
divert,1
precisely,1
weaknesses,1
"such,1
weakness,5
superiority,1
regulation,1
examination,3
presume,2
defect,4
owns,1
disguise,4
pretension,1
faults,4
vouch,3
convenience,3
vices,1
offenses,3
puffed,1
resentful,2
forever,3
"_that_,4
"implacable,1
_is_,3
shade,2
_laugh_,1
tendency,3
evil,14
education,11
willfully,1
misunderstand,3
tired,4
"louisa,1
waking,1
moments',1
recollection,12
paying,4
12,1
agreement,3
remaining,8
tuesday,12
propitious,1
postscript,3
pressed,3
staying,10
positively,2
fearful,5
intruding,2
needlessly,1
borrow,2
communication,11
excited,10
proposed,5
jealousy,4
exceeded,2
master,25
sorrow,4
firm,3
welcome,12
attracted,3
uncivil,5
wisely,4
careful,4
sign,2
_now_,5
elevate,1
influencing,1
suggested,5
material,9
confirming,2
crushing,1
saturday,17
adhered,1
conscientiously,1
separation,8
embracing,2
tenderly,2
shook,11
hands,7
liveliest,3
cordially,3
wondered,8
trouble,21
laconic,1
circle,7
absence,27
bass,1
observations,3
threadbare,2
morality,1
preceding,4
wednesday,9
lately,11
flogged,1
hinted,1
13,1
addition,8
"who,4
happen,12
"a,13
lord,11
fish,5
ring,5
bell,6
hill,10
roused,6
questioned,3
explained,9
"about,2
ago,26
delicacy,11
collins,155
dead,5
pleases,2
bear,25
hardest,1
entail,8
attempted,4
reach,8
rail,1
bitterly,2
cruelty,4
cared,7
iniquitous,1
affair,18
guilt,3
inheriting,2
softened,6
false,12
quarreling,2
filial,1
scruples,4
"hunsford,2
westerham,1
kent,14
15th,1
october,1
disagreement,1
honoured,9
uneasiness,7
heal,1
breach,3
kept,17
doubts,2
fearing,3
disrespectful,1
memory,8
terms,22
variance,1
'there,1
ordination,1
easter,3
patronage,4
honourable,6
de,39
bourgh,35
widow,3
lewis,3
bounty,1
beneficence,1
preferred,3
rectory,1
parish,9
earnest,15
demean,1
grateful,13
ladyship,30
perform,4
rites,1
ceremonies,1
instituted,1
church,11
clergyman,8
moreover,11
promote,4
establish,2
blessing,4
peace,7
grounds,6
overtures,1
commendable,1
kindly,7
overlooked,3
reject,4
olive,3
concerned,18
injuring,1
apologise,5
readiness,4
hereafter,3
satisfaction,27
november,5
18th,1
hospitality,3
se'ennight,1
objecting,3
occasional,6
respectful,1
wisher,1
"william,1
collins",1
"at,3
folded,1
conscientious,1
prove,8
indulgent,1
discourage,2
"though,4
atonement,2
thinks,4
christening,1
burying,1
parishioners,1
oddity,1
pompous,3
apologising,4
reverse,1
servility,1
promises,3
composition,1
defective,1
writer,3
scarlet,2
weeks,18
collins's,24
preparing,6
punctual,3
need,19
heavy,4
stately,3
formal,8
complimented,3
instance,7
fame,1
fallen,3
hearers,1
quarreled,1
destitute,1
oddly,1
allude,1
grievous,3
confess,16
estates,4
hardship,1
fair,22
cousins,11
appearing,6
precipitate,2
prepared,10
summons,3
objects,7
hall,13
furniture,10
praised,2
touched,4
viewing,3
future,15
begged,8
excellency,1
cooking,1
owing,4
asperity,1
cook,1
kitchen,1
pardon,15
displeased,4
14,1
withdrawn,3
started,4
shine,1
patroness,7
bourgh's,4
remarkable,7
eloquent,2
elevated,2
solemnity,5
aspect,6
witnessed,4
affability,4
condescension,7
experienced,4
graciously,1
discourses,1
preaching,3
rosings,49
pool,1
quadrille,4
reckoned,1
_he_,12
condescended,5
marry,42
humble,9
parsonage,18
approved,3
alterations,1
vouchsafed,1
suggest,2
shelves,1
closet,1
stairs,18
garden,12
stands,2
abode,8
separated,3
lane,10
ladyship's,12
heiress,1
shaking,2
handsomest,4
marks,2
birth,5
sickly,4
constitution,1
failed,3
superintended,1
resides,1
condescends,1
drive,4
phaeton,4
ponies,3
presented,2
court,4
"her,2
indifferent,16
state,19
unhappily,3
prevents,1
deprived,3
british,1
brightest,2
ornament,1
acceptable,6
born,4
duchess,1
adorned,3
peculiarly,3
bound,1
properly,8
talent,2
flattering,4
previous,3
arise,7
suggesting,1
arranging,2
adapted,3
unstudied,1
fully,5
absurd,5
keenest,3
maintaining,1
resolute,1
glance,7
dose,1
invite,6
assented,2
produced,11
beholding,3
(for,4
announced,3
circulating,1
library),1
begging,2
novels,1
exclaimed,8
deliberation,4
fordyce's,1
sermons,3
gaped,1
monotonous,1
pages,1
talks,1
richard,1
hire,1
denny,12
bid,1
hold,7
interested,8
stamp,1
written,19
amazes,1
advantageous,2
instruction,2
importune,1
antagonist,1
backgammon,2
challenge,1
acted,6
amusements,3
apologised,2
civilly,3
lydia's,38
interruption,10
occur,4
resume,1
bore,9
resent,4
15,1
assisted,4
guidance,2
illiterate,1
miserly,1
belonged,3
universities,1
forming,4
useful,6
subjection,1
originally,2
counteracted,2
weak,7
living,24
retirement,2
consequential,1
unexpected,8
prosperity,3
hunsford,23
veneration,1
mingling,1
authority,9
rector,3
obsequiousness,1
income,11
seeking,7
reconciliation,2
represented,7
father's,19
eligibility,1
suitableness,3
generous,12
disinterested,3
vary,3
lovely,3
confirmed,3
strictest,1
notions,3
seniority,1
alteration,7
hour's,4
beginning,12
naturally,12
avowal,3
mistress,9
amid,1
complaisant,1
caution,3
_younger_,1
_know_,2
prepossession,2
_eldest_,1
incumbent,4
stirring,1
treasured,1
trusted,7
graces,1
forgotten,12
attend,5
nominally,1
largest,1
folios,1
cessation,1
doings,2
discomposed,2
tranquillity,5
folly,11
free,7
prompt,1
fitted,6
nothings,1
assents,1
ones,6
wandering,3
street,19
bonnet,3
muslin,3
recall,2
officer,8
concerning,5
inquire,10
stranger's,1
led,18
across,5
pretense,1
fortunately,2
pavement,1
spot,7
entreated,2
permission,6
wickham,158
commission,7
corps,6
correct,2
unassuming,3
riding,1
civilities,7
spokesman,1
corroborated,1
fix,3
arrested,2
happening,2
effect,18
changed,8
moments,10
minute,9
noticed,8
phillip's,1
bows,2
phillips's,5
throwing,2
loudly,2
seconding,1
fetched,1
happened,24
jones's,1
claimed,3
intrusion,3
justified,5
relationship,12
awed,2
excess,2
contemplation,4
exclamations,3
lieutenant's,1
shire,12
occupation,1
unluckily,3
windows,6
"stupid,1
fellows,2
phillipses,2
nice,5
comfortable,12
noisy,3
lottery,3
tickets,3
hot,3
delights,2
cheering,2
mutual,5
apologies,2
unwearying,1
defended,1
admiring,2
utmost,10
pointedly,1
included,2
although,1
utterly,1
attributed,5
connection,20
16,1
people's,4
steadily,3
resisted,1
conveyed,2
suitable,3
seats,2
around,2
apartment,4
summer,19
gratification,1
understood,13
proprietor,3
catherine's,16
chimney,1
cost,4
eight,9
force,8
housekeeper's,1
describing,2
grandeur,4
mansion,2
digressions,1
improvements,1
receiving,20
until,3
listener,3
resolving,7
retail,1
neighbours,10
examine,2
imitations,1
china,1
mantelpiece,3
interval,4
approach,7
unreasonable,7
creditable,2
_they_,4
broad,1
faced,1
stuffy,1
breathing,1
port,1
female,8
finally,7
fell,2
commonest,1
dullest,1
topic,1
speaker,1
rivals,1
sink,3
insignificance,3
intervals,3
watchfulness,2
abundantly,3
muffin,1
whist,5
improve,3
compliance,1
engrossing,1
talker,1
eager,13
bets,1
exclaiming,4
prizes,1
demands,1
willing,6
history,4
dared,13
unexpectedly,3
relieved,8
hesitating,1
drop,3
per,3
annum,2
capable,18
connected,14
infancy,2
assertion,3
qualified,4
impartial,3
astonish,2
anywhere,1
_here_,2
disgusted,3
estimated,1
deserts,2
blinded,2
frightened,7
imposing,1
tempered,5
"whether,2
_heard_,2
plans,3
driven,5
gives,9
avoiding,2
proclaim,1
usage,2
painful,14
regrets,3
breathed,1
truest,1
soul,2
tender,4
recollections,8
scandalous,3
verily,1
disgracing,2
increase,6
topics,1
gentle,5
intelligible,4
constant,12
enter,12
quarters,2
procured,4
solitude,3
_must_,3
employment,6
military,1
circumstances,28
eligible,7
_ought_,1
bequeathed,1
gift,1
godfather,1
attached,11
provide,4
amply,2
"good,9
heavens,1
disregarded,1
legal,1
redress,1
informality,1
bequest,1
doubted,8
treat,5
conditional,1
assert,5
forfeited,1
claim,5
extravagance,4
imprudence,9
became,16
accuse,4
warm,6
unguarded,4
_of_,1
_to_,1
hates,2
publicly,3
disgraced,1
"some,2
_will_,7
induced,2
behave,2
cruelly,3
attribute,4
measure,5
son,22
borne,5
irritated,1
competition,3
creatures,3
suspect,4
descending,2
malicious,2
revenge,2
inhumanity,1
minutes',5
boasting,1
implacability,1
resentments,1
unforgiving,2
dreadful,11
godson,2
amiable",1
contented,4
childhood,1
closest,2
youth,9
inmates,1
sharing,2
parental,1
appears,3
devoted,3
confidential,1
obligations,3
active,4
superintendence,1
death,8
voluntary,3
providing,1
debt,4
dishonest,1
dishonesty,1
wonderful,3
traced,2
nearer,5
virtue,10
consistent,3
stronger,6
impulses,1
liberal,5
money,26
assist,7
tenants,2
relieve,2
_filial_,1
disgrace,11
degenerate,1
popular,1
powerful,3
_brotherly_,1
_some_,4
brotherly,1
guardian,1
brothers,2
affectionate,17
sixteen,7
superintends,1
pauses,2
trials,1
reverting,1
truly,7
"probably,1
abilities,6
conversible,1
equals,1
prosperous,2
minded,2
sincere,10
breaking,2
players,2
gathered,2
station,2
gravity,4
mere,5
trifle,5
chances,1
shillings,1
necessity,11
regarding,1
matters,8
wickham's,31
intimately,2
"lady,5
anne,4
existence,3
unite,2
useless,6
destined,4
"speaks,1
misleads,1
arrogant,1
dictatorial,1
insolent,4
reputation,3
derives,1
authoritative,2
nephew,19
everyone,5
class,2
gracefully,1
went,67
incessantly,2
won,4
losses,1
enumerating,5
dishes,1
crowded,3
manage,3
stopped,6
17,1
veracity,2
endured,4
unkindness,1
defend,3
accident,5
"been,1
deceived,13
misrepresented,2
causes,5
alienated,1
actual,5
blame,15
behalf,4
"laugh,1
disgraceful,5
treating,1
humanity,2
imposed,4
invent,1
facts,1
ceremony,5
contradict,2
looks,12
distressing,6
knows,9
certainty,8
_had_,3
personal,2
rising,7
hurrying,3
ceremonious,3
pictured,1
confirmation,4
anticipated,4
depended,4
satisfy,11
rate,5
disinclination,2
mornings,2
engagements,12
claims,6
profess,1
recreation,1
unnecessarily,1
evening's,2
scruple,4
dreading,1
rebuke,1
archbishop,1
venturing,1
soliciting,2
cause,19
disrespect,2
liveliness,4
timed,1
perforce,1
delayed,6
grace,1
selected,3
worthy,3
assisting,2
visitors,14
increasing,10
vivacity,2
charms,4
dispute,2
prepare,6
pitiable,3
succession,1
sought,5
shoe,1
roses,1
proxy,1
trial,2
suspended,2
friday,1
endurable,1
18,1
cluster,1
coats,1
occurred,14
unreasonably,1
dressed,6
conquest,3
unsubdued,1
trusting,2
arose,5
suspicion,9
purposely,6
omitted,1
bingleys',1
absolute,4
significant,3
unheard,1
answerable,2
surmise,2
displeasure,6
immediate,12
disappointment,17
approached,6
attendance,5
forbearance,6
injury,1
surmount,1
provoked,3
destroyed,2
dwell,2
griefs,1
transition,1
oddities,1
distress,16
mortification,6
awkward,10
solemn,5
misery,14
release,1
ecstasy,2
refreshment,5
fret,3
console,9
"heaven,1
forbid,4
recommenced,1
cautioning,2
unpleasant,8
dignity,5
neighbours',1
amazement,10
break,2
couples,1
"sometimes,1
arranged,2
consulting,2
gratifying,6
"both,1
similarity,2
unsocial,1
taciturn,1
amaze,1
handed,3
posterity,1
eclat,1
proverb,1
striking,3
resemblance,7
portrait,1
decide,4
affirmative,2
resist,4
temptation,7
deeper,3
_hauteur_,2
overspread,3
blaming,3
constrained,1
blessed,4
ensure,2
_making_,1
_retaining_,1
emphasis,1
desirous,7
changing,3
perceiving,4
courtesy,2
belong,3
circles,1
(glancing,1
bingley),1
congratulations,12
appeal,2
interrupt,5
thank,16
detaining,2
bewitching,1
bright,1
upbraiding,1
allusion,4
strike,5
forcibly,4
shortly,12
"sir,2
"books,1
compare,1
_present_,1
occupies,1
scenes,3
wandered,2
forgave,1
unappeasable,1
_being,1
created_,1
judging,3
"may,4
tend,1
"merely,1
illustration,1
endeavouring,5
trying,6
accounts,3
puzzle,2
reports,1
sketch,2
reflect,5
likeness,3
suspend,1
breast,2
anger,13
disdain,6
"so,4
george,8
forgot,5
steward,5
implicit,1
assertions,3
using,1
infamous,4
including,2
favourite's,1
descent,3
angrily,1
sneer,1
"excuse,1
interference,13
"insolent,1
wilful,3
ignorance,7
malice,2
undertaken,1
glow,3
marked,14
occurrences,4
enemies,1
fairest,1
probity,1
imprudent,11
recollect,6
believes,1
_conditionally_,1
sincerity,4
assurances,8
defense,1
unacquainted,1
discourse,7
sentiment,7
modest,2
heighten,1
pleasantness,3
exultation,1
overhear,1
honours,2
respects,6
total,3
plead,2
earlier,3
_nephew_,1
se'nnight,1
dissuade,1
addressing,3
freedom,4
ceased,6
scope,1
permit,1
laity,1
regulate,1
clergy,1
clerical,1
maintained,2
dictates,1
conscience,5
leads,3
neglecting,2
profit,1
guide,2
habitual,1
reception,9
advances,1
watched,7
prefaced,1
motion,1
"apology,1
eyeing,1
unrestrained,1
discouraged,2
discernment,2
unworthily,1
pursue,6
train,1
plainly,6
bent,3
perverseness,6
(lady,1
lucas),1
openly,8
expectation,19
animating,1
fatigue,4
match,24
points,4
gratulation,2
promising,4
lastly,1
consign,1
etiquette,2
concluded,10
evidently,5
triumphantly,2
believing,12
audible,1
inexpressible,1
scolded,1
owe,5
lower,4
blushed,7
dreaded,7
invariably,2
gradually,6
indignant,2
composed,3
yawning,1
repetition,3
likelihood,5
comforts,4
ham,1
chicken,1
revive,1
entreaty,7
prevent,16
proof,7
exhibiting,1
sensations,3
stanzas,1
impatience,10
rewarded,3
mary's,1
agonies,1
composedly,3
signs,1
derision,2
imperturbably,1
finished,11
exhibit,1
pretending,3
"were,2
innocent,2
diversion,3
compatible,2
devoting,1
tithes,1
beneficial,1
offensive,2
patron,3
duties,2
dwelling,7
excused,2
conciliatory,1
owes,2
preferment,3
acquit,2
omit,1
testifying,1
loud,2
seriously,13
commended,2
sensibly,2
distressed,13
ridiculing,1
perseveringly,1
prevail,2
arguing,1
owed,6
naturedly,1
probable,12
allusions,2
rejoiced,9
depart,4
manoeuvre,1
complain,4
repulsed,1
languor,1
speeches,3
complimenting,1
guests,1
enjoying,4
scene,16
detached,3
preserved,4
utter,6
"lord,1
pressingly,1
eating,2
whither,2
quitted,9
preparations,2
settlements,1
carriages,6
wedding,14
months,19
eclipsed,1
19,1
declaration,5
extended,3
diffidence,5
orderly,1
observances,1
regular,3
solicit,1
audience,2
blush,4
gathering,1
hastening,2
embarrassed,7
_insist_,2
oppose,3
injunction,1
moment's,6
quietly,8
incessant,1
"believe,2
disservice,1
adds,3
perfections,2
unwillingness,3
respected,3
purport,2
dissemble,1
singled,2
reasons,5
selecting,1
laughing,11
stop,4
(like,1
myself),1
secondly,3
thirdly,2
(unasked,1
),3
pools,1
jenkinson,8
footstool,1
'mr,1
gentlewoman,1
_own_,1
reckon,1
inevitably,1
excite,3
inherit,1
(who,1
longer),1
melancholy,5
esteem,11
animated,2
language,5
violence,3
demand,3
cents,1
decease,3
uniformly,3
ungenerous,3
reproach,8
proposals,9
wave,1
addresses,6
secretly,3
applies,1
refusal,7
altar,1
ere,2
(if,1
are),1
daring,2
risk,5
persuaded,25
disapprove,1
economy,5
qualification,1
unnecessary,4
refusing,7
falls,2
accusing,1
custom,2
encourage,6
"really,1
hitherto,2
convince,4
briefly,4
acceptance,4
manifold,1
attractions,4
portion,3
undo,2
effects,3
loveliness,2
qualifications,1
rejection,2
suspense,6
practice,5
females,2
pretensions,5
consists,1
tormenting,1
plainer,1
intending,7
sanctioned,2
parents,7
fail,6
perseverance,3
deception,2
persisted,2
refusals,1
apply,3
negative,3
uttered,5
decisive,2
coquetry,1
20,1
successful,3
dawdled,1
vestibule,5
watch,2
conference,4
staircase,2
congratulated,2
felicitations,1
proceeded,10
interview,3
steadfastly,3
bashful,1
genuine,2
startled,2
headstrong,4
_make_,2
"pardon,1
interrupting,2
persists,1
rejecting,2
accepting,4
liable,2
contribute,2
natured,11
settle,7
uproar,1
vows,1
calm,5
altered,7
declares,1
hopeless,7
"speak,1
rang,1
refused,6
insists,1
"an,3
unhappy,12
conclusion,8
regarded,3
favours,2
coaxed,1
threatened,1
turns,2
endeavoured,10
mildness,2
interfering,1
earnestness,2
gaiety,2
attacks,3
determination,3
meanwhile,5
hurt,6
deserving,2
regret,19
fun,8
entreating,1
charlotte's,17
spared,8
"looking,1
unconcerned,2
caring,2
york,1
maintain,1
warn,4
undutiful,1
pitied,3
effusion,2
soothe,1
irritation,3
tongues,1
ground,11
detained,3
doleful,1
projected,1
presently,2
resignation,2
inevitable,3
evils,8
peculiar,5
resigned,6
positive,3
denied,3
showing,4
withdrawing,1
requesting,2
interpose,1
objectionable,3
dismission,1
error,6
_manner_,1
21,1
discussion,5
necessarily,3
peevish,2
embarrassment,10
dejection,3
assiduous,1
transferred,1
seasonable,1
abatement,1
shorten,1
lament,3
aunt's,6
voluntarily,6
bestowed,8
accompanying,2
double,2
introducing,4
delivered,4
envelope,3
contained,7
sheet,3
paper,6
covered,2
flowing,1
intently,2
passages,2
recollected,13
putting,5
contains,1
sentence,12
comprised,2
grosvenor,2
returns,2
intercourse,6
correspondence,5
highflown,1
insensibility,5
distrust,2
suddenness,1
cease,2
arrive,2
renewed,6
imagined,5
gets,1
comfortless,1
hotel,1
crowd,1
despair,1
sincerely,9
christmas,6
abound,1
gaieties,2
season,3
brings,1
beaux,1
numerous,2
deprive,1
_should_,3
passage,2
hurts,1
reserves,3
georgiana,12
inspires,1
heightened,8
confiding,2
admires,2
footing,2
misleading,1
engaging,6
woman's,4
indulging,1
_this_,6
expressly,1
expects,1
suspects,1
(most,1
"most,1
willingly,3
wants,11
keeping,4
tries,1
grand,2
notion,7
_one_,5
intermarriage,1
achieving,1
ingenuity,2
succeed,3
tells,1
alike,2
foundation,4
unjust,4
wilfully,3
deceiving,2
supposing,15
mature,1
disobliging,1
equivalent,1
faintly,1
disapprobation,7
hesitate,3
suggestion,1
caroline's,3
artfully,1
independent,2
desponding,1
overcame,3
departure,6
gentleman's,8
bewailed,1
lamenting,1
22,1
thanking,4
keeps,3
repaid,2
farther,15
conception,1
appearances,1
admirable,3
slyness,2
hasten,1
feet,1
encouraging,4
comparatively,2
diffident,1
perceived,12
accidentally,3
eloquence,1
awaited,1
happiest,10
solicitation,1
waived,1
stupidity,4
favoured,1
courtship,2
continuance,3
pure,2
speedily,6
joyful,2
prospects,4
wealth,3
calculate,1
expedient,2
overjoyed,1
_coming,1
out_,1
boys,3
apprehension,12
maid,3
irksome,2
provision,2
pleasantest,1
preservative,2
luck,4
valued,5
shaken,3
charged,1
secrecy,10
dutifully,2
difficulty,8
burst,3
forth,4
direct,7
evade,1
exercising,2
longing,2
publish,1
journey,21
cordiality,4
hoping,4
avail,1
speedy,2
offending,3
concurrence,2
offence,2
mark,4
meditated,2
rated,2
encouraged,8
hers,7
bounds,1
crying,2
"engaged,1
commanded,2
momentary,3
regained,1
calmly,1
procure,1
firmness,1
romantic,1
reconciled,2
unsuitable,2
strangeness,1
offers,5
sacrificed,1
worldly,2
humiliating,2
pang,1
sunk,4
23,1
reflecting,1
doubting,2
authorised,2
announce,4
houses,4
wondering,2
incredulous,3
boisterously,1
courtier,1
forbearing,1
confirm,1
prior,2
overpowered,3
vent,2
disbelieving,1
fourthly,1
broken,7
inferences,1
deduced,1
mischief,3
barbarously,1
misused,1
dwelt,5
appease,1
wear,1
elapsed,2
rude,3
emotions,1
tranquil,2
confessed,4
improbable,7
envying,1
spread,3
insensible,4
retort,1
sour,1
restraint,5
mutually,1
subsist,1
fonder,2
rectitude,1
daily,3
counting,1
reasonably,4
twelvemonth's,1
prompted,1
discharging,2
inform,7
rapturous,2
unanswerable,1
inconvenient,4
troublesome,1
hated,4
lovers,4
murmurs,1
bringing,12
tidings,3
incensed,2
falsehood,7
admit,6
destructive,1
dishonorable,1
stability,1
lover,5
occurring,2
efforts,2
unfeeling,3
overpowering,1
feared,11
concealing,1
alluded,6
restrained,1
seldom,9
require,3
needed,3
punctually,3
gracious,8
luckily,4
agony,1
successor,1
abhorrence,6
anticipating,2
complained,1
gloomy,2
survivor,1
consoling,3
one's,5
24,1
professed,4
boasted,2
joyfully,1
ventured,7
predict,1
accomplishment,3
inmate,1
communicated,3
slave,2
designing,1
sport,4
involved,3
unavailing,2
died,3
suppressed,2
friends',1
wounded,3
courage,12
continual,3
repine,4
slightly,4
colouring,3
god,3
try,12
harm,4
disinterestedness,1
angelic,1
disclaimed,1
encroaching,1
privilege,3
universal,3
fewer,1
confirms,1
belief,15
inconsistency,2
dependence,7
instances,4
unaccountable,2
ruin,5
allowance,2
respectability,5
prudent,4
benefited,4
narrow,2
individual,2
principle,5
integrity,3
selfishness,1
prudence,4
security,3
_two_,3
_that,1
person_,1
intentionally,2
circumspect,1
deceives,1
designedly,1
attributing,1
scheming,1
thoughtlessness,3
impute,1
displease,1
whilst,4
persist,2
conjunction,1
position,1
"beyond,1
unlikely,4
unnaturally,1
ashamed,16
clearly,3
perplexity,2
transient,1
liking,2
statement,2
repeat,5
crossed,5
congratulate,7
companions,7
outdone,1
disappoint,2
jilt,1
creditably,1
"true,4
befall,2
dispelling,1
gloom,3
perverse,1
thrown,8
recommendations,1
unreserve,1
canvassed,2
extenuating,1
mild,1
pleaded,1
allowances,1
mistakes,2
condemned,2
worst,7
25,1
alleviated,1
bride,3
gardiner,84
warehouses,2
subsisted,2
distribute,1
presents,3
newest,1
fashions,2
grievances,2
artful,1
thwarted,1
sleeves,1
separates,1
forgets,1
_accident_,1
violently,5
'violently,1
love',1
hackneyed,1
indefinite,1
_violent,1
was_,1
growing,3
inattentive,2
incivility,3
essence,1
acquiescence,2
custody,1
gracechurch,7
month's,1
ablution,1
cleanse,1
impurities,1
stirs,1
correspond,1
reanimated,1
successfully,1
combated,1
bingleys,4
gardiners,6
stayed,7
carefully,3
suspicious,1
narrowly,2
affording,2
unconnected,4
fresher,1
procuring,3
inexhaustible,1
comparing,2
bestowing,1
tribute,1
delighting,1
reputed,2
lad,1
confident,3
fitzwilliam,31
26,1
warned,1
involve,2
becomes,4
forfeit,1
wiser,1
wisdom,1
_remind_,1
refrain,3
"_wished_,1
thursday,4
farewell,3
rose,7
ungracious,3
reluctant,2
foresaw,1
march,2
bridegroom,1
slacken,1
correspondent,2
eagerness,8
pronounce,3
foreseen,2
cheerfully,2
surrounded,1
roads,1
rationally,3
accounted,2
reproached,2
inventing,1
fresh,9
visitor,11
shortness,1
deceive,4
triumphing,1
obstinate,3
meantime,1
singling,1
deservedly,1
harshly,1
duplicity,2
banish,3
invariable,1
duped,1
review,3
contentment,3
subsided,1
admirer,3
watchful,1
permitted,1
acquisition,1
rendering,1
sighted,1
struggles,3
relinquish,1
relating,5
elevating,1
passion,2
effectual,1
distractedly,1
purchased,3
defection,1
27,1
events,5
diversified,1
walks,3
february,1
depending,2
learned,3
weakened,1
uncompanionable,1
faultless,1
unwelcome,4
peep,1
smoothly,1
accompany,3
bidding,3
adieu,5
reminding,1
coincide,1
attach,3
travellers,4
empty,1
headed,1
rattle,2
absurdities,2
wonders,3
worn,2
noon,2
drove,11
healthful,1
troop,1
cousin's,8
shyness,2
bustle,1
shopping,1
theatres,1
struggled,2
support,7
periods,1
reasonable,14
conversations,1
rallied,2
niece,20
desertion,1
bearing,2
mercenary,5
matrimonial,1
avarice,1
grandfather's,1
allowable,1
gain,2
affections,4
indelicacy,2
directing,2
decorums,1
"_her_,1
heaven,9
"take,2
savours,1
tour,6
carry,5
lakes,6
rapturously,1
vigour,1
spleen,1
rocks,1
mountains,2
transport,1
accurate,1
rivers,1
jumbled,1
